date ,trim_monthly_chg,trim_ann_monthly_chg
11/1/2016,0.00160412570450097,1.9
12/1/2016,0.00160108492276057,1.9
1/1/2017,0.00259578085479628,3.2
2/1/2017,0.00214704484886807,2.6
3/1/2017,0.000838495984934795,1
4/1/2017,0.000821022164817276,1
5/1/2017,0.00101372985028214,1.2
6/1/2017,0.000893921919508989,1.1
7/1/2017,0.00131140573619515,1.6
8/1/2017,0.00183361603652377,2.2
9/1/2017,0.00153045015576025,1.9
10/1/2017,0.00165392356795135,2
11/1/2017,0.00162167644098044,2
12/1/2017,0.00206853206896085,2.5
1/1/2018,0.00312409546457948,3.8
2/1/2018,0.00212077247159126,2.6
3/1/2018,0.0013052046995321,1.6
4/1/2018,0.00174272687950139,2.1
5/1/2018,0.00190801164912879,2.3
6/1/2018,0.00165468562869497,2
7/1/2018,0.00124049156560369,1.5
8/1/2018,0.00160395167070448,1.9
9/1/2018,0.00179891452372405,2.2
10/1/2018,0.00195482075338438,2.4
11/1/2018,0.00218910851812759,2.7
12/1/2018,0.00259091130905054,3.2
1/1/2019,0.00213245428135189,2.6
2/1/2019,0.00171188843727332,2.1
3/1/2019,0.00222822322775929,2.7
4/1/2019,0.0016035843050326,1.9
5/1/2019,0.000909511311821598,1.1
6/1/2019,0.00162720564713936,2
7/1/2019,0.00213194613693446,2.6
8/1/2019,0.00188317176062114,2.3
9/1/2019,0.00192692553610918,2.3
10/1/2019,0.00261483978826638,3.2
11/1/2019,0.00261985962278799,3.2
12/1/2019,0.00213037672833183,2.6
1/1/2020,0.00234400286800929,2.8
2/1/2020,0.00192505057567138,2.3
3/1/2020,0.00154040733685989,1.9
4/1/2020,9.10077179809843e-05,0.1
5/1/2020,0.00208323728687998,2.5
6/1/2020,0.00143805686208731,1.7
7/1/2020,0.0030403997897217,3.7
8/1/2020,0.00245900243181207,3
9/1/2020,0.00127429319745453,1.5
10/1/2020,0.00137901092258597,1.7
11/1/2020,0.00147769439840362,1.8
12/1/2020,0.00219488649765309,2.7
1/1/2021,0.000817330198285449,1
2/1/2021,0.00218090036071161,2.6
3/1/2021,0.00243708564640976,3
4/1/2021,0.00330505321851837,4
5/1/2021,0.00362019705682948,4.4
6/1/2021,0.0038818971086052,4.8
7/1/2021,0.00390958623268056,4.8
8/1/2021,0.00390627491503226,4.8
9/1/2021,0.00480276950823466,5.9
10/1/2021,0.00761607211730864,9.5
11/1/2021,0.00599656374578883,7.4
12/1/2021,0.00582276510605784,7.2
1/1/2022,0.0059690205831211,7.4
2/1/2022,0.00540119311687137,6.7
3/1/2022,0.00518199756071103,6.4
4/1/2022,0.00421352799407737,5.2
5/1/2022,0.00735651458806585,9.2
