Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
04/08/2016,-0.397880980647117,-0.293307145213522,-0.592682912783278,0.118364704527734,0.214130993654038,-0.713554542500499
04/15/2016,-0.398472378511624,-0.280752363518039,-0.587677101946337,0.113875412795935,0.194760566648123,-0.712505321752707
04/22/2016,-0.398521153629428,-0.27339399782679,-0.583506234597874,0.113267608754274,0.175456299483217,-0.711554549773697
04/29/2016,-0.396985766154226,-0.269944692069992,-0.579867708682169,0.11636429207446,0.158094237917521,-0.710614929507183
05/06/2016,-0.393869643888082,-0.268586970516811,-0.576600436315553,0.121982766339069,0.144963579789028,-0.709613361125177
05/13/2016,-0.390544444346289,-0.269248228423406,-0.573802588800249,0.128283356883501,0.137831438928593,-0.708494578946782
05/20/2016,-0.385865392548126,-0.268412378262616,-0.569908393738041,0.134184402804301,0.137746303070158,-0.707220088463567
05/27/2016,-0.379726932721358,-0.266089680778585,-0.56449344153994,0.138931039925747,0.144777847449331,-0.705766653504745
06/03/2016,-0.371986430393322,-0.262368821878527,-0.558088703160535,0.142792633951177,0.157940971341757,-0.704125978870982
06/10/2016,-0.364013289066336,-0.257531080057025,-0.551678060869107,0.145717549876889,0.175142049685944,-0.702303699364888
06/17/2016,-0.355540594414392,-0.250893943126759,-0.545428912355867,0.148219080571029,0.193888643088806,-0.700318333501244
06/24/2016,-0.350269473950807,-0.246482492945593,-0.539855221729946,0.147882175222705,0.211820289101962,-0.69819998057432
07/01/2016,-0.347508281421521,-0.242753670861766,-0.53423871730222,0.144825509014485,0.226661488721888,-0.695986321308028
07/08/2016,-0.349893336324522,-0.244580452086797,-0.528203320120883,0.136699623554109,0.236873836694434,-0.69371917979106
07/15/2016,-0.356168832809924,-0.251926412792126,-0.521572788569329,0.124234883749486,0.241787033367589,-0.691444702761072
07/22/2016,-0.362737130783189,-0.259986531344567,-0.512807050263231,0.109458873980266,0.241217936282712,-0.689207437864504
07/29/2016,-0.369160529407652,-0.269099514728651,-0.503338006264257,0.0949020048888306,0.234768036383466,-0.687048849828631
08/05/2016,-0.372713020898821,-0.272475071969638,-0.493829344418446,0.0838661571498478,0.223271805641143,-0.685005965496915
08/12/2016,-0.373243941707098,-0.269969213293641,-0.484777731967142,0.0778432456897995,0.207204047050665,-0.683108367196866
08/19/2016,-0.369893818567006,-0.260346829856494,-0.476242350487546,0.0777257973474021,0.187513136211856,-0.681376367855333
08/26/2016,-0.363109485074624,-0.244833166731615,-0.468076080229036,0.0827892879547671,0.164858378529957,-0.67982008810438
09/02/2016,-0.353632819778838,-0.227547830042268,-0.460785447343568,0.0917639841330208,0.1400916447212,-0.678438523980469
09/09/2016,-0.344890349585655,-0.21515393504943,-0.455419883241357,0.101768768384355,0.112995645284668,-0.67721924347613
09/16/2016,-0.337837736748557,-0.20848760930929,-0.452251410329587,0.110976051906913,0.0831163372921307,-0.676137679361169
09/23/2016,-0.334248607861791,-0.206990462961705,-0.452337297544608,0.117963622153059,0.04943388402987,-0.675156678158987
09/30/2016,-0.335337700732854,-0.212398821128428,-0.456509726700462,0.122202268395279,0.0101942493270222,-0.674228498104597
10/07/2016,-0.341190424724422,-0.22177970416424,-0.463351314157288,0.122077417470387,-0.0353169417781991,-0.673297582095682
10/14/2016,-0.349786546806446,-0.233233641186796,-0.471656529819879,0.118569706202078,-0.0880657421902468,-0.672297884361031
10/21/2016,-0.360877940132965,-0.249826985025093,-0.481383348984767,0.11226658159463,-0.14794786729989,-0.671169889548983
10/28/2016,-0.374850852456318,-0.274424074994557,-0.4914065539013,0.102865654444713,-0.214545036027051,-0.669856770061079
11/04/2016,-0.389214132020932,-0.303453015437515,-0.501112697887986,0.0921520537858881,-0.285362711244991,-0.668311136993066
11/11/2016,-0.406780908426612,-0.336685519692289,-0.511154413827011,0.0796099251789084,-0.35842257327007,-0.666498295376632
11/18/2016,-0.424230440985956,-0.365457539775082,-0.519951189355031,0.066478363384429,-0.42947647744006,-0.664396499678212
11/25/2016,-0.43988871603083,-0.384885808648765,-0.526192540186693,0.0530122762730111,-0.49452377215962,-0.661996486179137
12/02/2016,-0.452836189833404,-0.394212227748335,-0.529291533722537,0.0393880934135675,-0.550241052428054,-0.659301875956922
12/09/2016,-0.462858914833211,-0.394237127416863,-0.529253278574568,0.025642971810363,-0.594302927629961,-0.656329347955878
12/16/2016,-0.469171977191172,-0.388468414294622,-0.526380859061886,0.0122834213543807,-0.625254866881362,-0.653110005270773
12/23/2016,-0.473360480984572,-0.381332859318765,-0.522581376123242,-0.000131431565586467,-0.64371686635485,-0.649690151487812
12/30/2016,-0.478436549217305,-0.377764342679591,-0.519582052819598,-0.0122780353170215,-0.651215381135083,-0.646128486171453
01/06/2017,-0.483321242773769,-0.374043241221306,-0.517331881190074,-0.0235592703198805,-0.648745823417175,-0.642489999901626
01/13/2017,-0.489015152329633,-0.371098520507444,-0.516496386302988,-0.0340838182517442,-0.638121818196859,-0.638851082664432
01/20/2017,-0.493861012182357,-0.367921028552518,-0.515738268363791,-0.0437793425681931,-0.620482492855006,-0.635278684233798
01/27/2017,-0.497507458076351,-0.363862600824786,-0.514211768157458,-0.0526723159390539,-0.597714323965367,-0.631834360466351
02/03/2017,-0.499235661270464,-0.361614408088046,-0.512469745704772,-0.0595939336703561,-0.571170692241178,-0.628570397413342
02/10/2017,-0.499898790193503,-0.362961395791746,-0.510882146399729,-0.0643349406514103,-0.542761485704071,-0.625527370889535
02/17/2017,-0.498632825626227,-0.366424207225708,-0.510453651293395,-0.0652655276313405,-0.513569835020605,-0.62273472827479
02/24/2017,-0.496165569182606,-0.370376532685676,-0.511448330176458,-0.0624877606494851,-0.484836042131334,-0.620211789475238
03/03/2017,-0.493890663632897,-0.376985523464878,-0.514378954556254,-0.0572885345260244,-0.456500548596912,-0.617967631573918
03/10/2017,-0.49060185879224,-0.380362614319051,-0.517898521024982,-0.0509328723788569,-0.427724141754285,-0.616001323921093
03/17/2017,-0.486887103150061,-0.382327442868804,-0.520907038865292,-0.0454657149180292,-0.398581866129454,-0.614301907009679
03/24/2017,-0.483917885302715,-0.384516012002831,-0.523435261739999,-0.0424511384626078,-0.36933367471019,-0.61284889488615
03/31/2017,-0.483799068021523,-0.390022522775248,-0.526992267582035,-0.042783832630407,-0.340600418768373,-0.611614651764749
04/07/2017,-0.485908439081538,-0.396046117897621,-0.532492894651509,-0.0450741762408111,-0.313762669846313,-0.610567972522697
04/14/2017,-0.491138677910096,-0.403547403006386,-0.542186683366981,-0.0478471191867534,-0.290188929778866,-0.609672579229133
04/21/2017,-0.498738923693788,-0.409758610125474,-0.556470595952931,-0.0499640328632779,-0.270508352327753,-0.608892919904917
04/28/2017,-0.509085363196789,-0.417486704568806,-0.575114923056528,-0.0514462252707557,-0.255266873806449,-0.608194669004937
05/05/2017,-0.519850931857879,-0.426172782712151,-0.595693823427562,-0.0522156999624276,-0.244184627271191,-0.607544627047267
05/12/2017,-0.530962243536984,-0.437576690722013,-0.615683331315759,-0.0539608139364304,-0.23682256340394,-0.606912424911673
05/19/2017,-0.541322509959028,-0.450843610227831,-0.632995911555621,-0.0570317563636724,-0.232932374673696,-0.606271434011846
05/26/2017,-0.552206409277023,-0.466643696398649,-0.646538338411381,-0.0627251371299851,-0.232421567097099,-0.60559927990831
06/02/2017,-0.560837992333866,-0.477898553997351,-0.655516243898187,-0.0693690602400764,-0.234419564905518,-0.604878489897304
06/09/2017,-0.56749655313834,-0.482893690257495,-0.660135384081216,-0.0766158921880404,-0.238543032092938,-0.604096776460647
06/16/2017,-0.572352789446884,-0.484232399211744,-0.661597377528809,-0.0839349686456173,-0.243462321672283,-0.603247325968399
06/23/2017,-0.575770347267775,-0.483088842824502,-0.661230573233067,-0.091141840939299,-0.247385200534945,-0.602329414945829
06/30/2017,-0.579828495848096,-0.489017230191482,-0.660170401119939,-0.0986389203299909,-0.250158820415314,-0.601347697107883
07/07/2017,-0.584010779512539,-0.499835595945543,-0.659194849468752,-0.105891880947916,-0.25041472717214,-0.600313101823914
07/14/2017,-0.588968396751783,-0.513533718546566,-0.659264200174194,-0.112245601654082,-0.248394128352291,-0.599243414933955
07/21/2017,-0.592622495988366,-0.524315103244396,-0.659285124739541,-0.116461153400171,-0.24469560797427,-0.598161604325193
07/28/2017,-0.592948553997799,-0.524220749501578,-0.658436144682672,-0.117242646220226,-0.240089183063368,-0.597095351824854
08/04/2017,-0.589176000420903,-0.510916243199296,-0.656049308745013,-0.114580818700156,-0.235220616256364,-0.59607643161702
08/11/2017,-0.582245487447704,-0.489366069428838,-0.652450768005427,-0.10964808361619,-0.230222890755083,-0.595139281089483
08/18/2017,-0.574384094968532,-0.466978024406917,-0.648051272918436,-0.104406370360154,-0.226050263703653,-0.594319814778265
08/25/2017,-0.568498297430761,-0.4506077033586,-0.644241425467464,-0.100812954603008,-0.223482270895102,-0.593654950304542
09/01/2017,-0.565808542962221,-0.443652594667234,-0.641593465050704,-0.0999622956626256,-0.223496793888642,-0.593181431265705
09/08/2017,-0.56668319928305,-0.445052259686749,-0.640349408309809,-0.102121889878645,-0.227202370813796,-0.592934407516621
09/15/2017,-0.571529911739887,-0.454170074713315,-0.641012845562168,-0.10711831569126,-0.2354097557976,-0.592945497280894
09/22/2017,-0.578155087859013,-0.465531949094995,-0.642571779262081,-0.113885368655386,-0.24802101947146,-0.593240130408176
09/29/2017,-0.585478472754222,-0.479554725342671,-0.644689024901611,-0.121477616034605,-0.264537442096301,-0.593836367691831
10/06/2017,-0.59335694304706,-0.497076487940156,-0.648252585261066,-0.129083991777492,-0.283342625594164,-0.594748155448894
10/13/2017,-0.601187361160327,-0.517382900229158,-0.653245938688003,-0.13579504454948,-0.303319940105166,-0.595979712529708
10/20/2017,-0.608508557477685,-0.540411222945654,-0.660259290775572,-0.140405889246849,-0.323320418404472,-0.597530109724252
10/27/2017,-0.615224372985269,-0.563109634665743,-0.669232708431237,-0.142543679617553,-0.342415161787196,-0.599392782709522
11/03/2017,-0.621589772859206,-0.58378446577524,-0.680362435631312,-0.141856246920624,-0.360104749528807,-0.601552471524583
11/10/2017,-0.626210711418215,-0.597305574259042,-0.691328190741186,-0.139050088877956,-0.37562834106089,-0.603982191857171
11/17/2017,-0.629024107065713,-0.604285064117314,-0.700417625812518,-0.135285963642426,-0.388941667746244,-0.60664246465835
11/24/2017,-0.630626776054596,-0.605151192507781,-0.707302511286311,-0.131859437504664,-0.399264552562458,-0.609480028259504
12/01/2017,-0.630857246202621,-0.603951404614402,-0.711476520038932,-0.129586528546804,-0.406311735924674,-0.612427286087991
12/08/2017,-0.630520372140904,-0.603406247779376,-0.713653287602408,-0.129076044982014,-0.410073547845708,-0.615402427301565
12/15/2017,-0.632038939554986,-0.606821477712459,-0.715714353714616,-0.130907560357383,-0.411255038031579,-0.618308069027142
12/22/2017,-0.635666020388307,-0.615144979809875,-0.717975845296335,-0.134709178963196,-0.410934465272517,-0.621031381157966
12/29/2017,-0.640799820068611,-0.626155046995837,-0.719458107092624,-0.139841838159968,-0.410746792608903,-0.623447844338903
01/05/2018,-0.645816660272908,-0.635431763451494,-0.718159151087995,-0.1457163002892,-0.411740382810443,-0.625423691855247
01/12/2018,-0.645800787676761,-0.636852604884532,-0.710170661776534,-0.150251828197251,-0.415358260330293,-0.626812590352432
01/19/2018,-0.63897655217006,-0.629077464640834,-0.694791715297025,-0.152028911397198,-0.422048838876644,-0.627491255054193
01/26/2018,-0.625901851423222,-0.6121611756543,-0.672798017193085,-0.15023176416732,-0.43282430560268,-0.627348544009755
02/02/2018,-0.607163556144486,-0.589201305012236,-0.646288686842474,-0.144081827821599,-0.447510615550562,-0.626300890953236
02/09/2018,-0.585649508069266,-0.563685839042784,-0.617958471847893,-0.134463941366701,-0.465797838504658,-0.624300018636678
02/16/2018,-0.56811259153742,-0.544601523902345,-0.592799477078039,-0.123239632879791,-0.487814207742934,-0.621332316239299
02/23/2018,-0.55317337039599,-0.528965850775841,-0.570510305544416,-0.111172468394245,-0.511532564312819,-0.617417327345953
03/02/2018,-0.539317470769191,-0.514658440963027,-0.549853763619844,-0.0993906251329512,-0.534981924196042,-0.612608346909558
03/09/2018,-0.525766363997062,-0.499085969468442,-0.531178297019755,-0.0885267937945807,-0.555507354604951,-0.606992121816623
03/16/2018,-0.512726142721043,-0.481565102971378,-0.51510595757857,-0.0794847335076093,-0.570666365210916,-0.600692169055686
03/23/2018,-0.50117630022749,-0.462595862189007,-0.502923382203663,-0.0729204330958776,-0.57841017184523,-0.593869517111987
03/30/2018,-0.495232792805886,-0.449685062026074,-0.498114595068212,-0.0698493429319075,-0.576996785285965,-0.586714478503022
04/06/2018,-0.495674850222205,-0.44302717175305,-0.500760131457094,-0.0704275093890598,-0.565740213054671,-0.579432728500264
04/13/2018,-0.504719745733106,-0.447969708465419,-0.512449154447864,-0.0743894133883441,-0.543993745061956,-0.572257946633018
04/20/2018,-0.519434213520533,-0.462799926011426,-0.530467589015585,-0.0806599211168103,-0.510991328601141,-0.565392653401817
04/27/2018,-0.533873583257099,-0.479651799426286,-0.550096657991778,-0.0871241023485544,-0.466472294461998,-0.559021683044946
05/04/2018,-0.545113718476274,-0.495430340850336,-0.568322182779777,-0.0928690298813902,-0.410627088184583,-0.553298596837463
05/11/2018,-0.552463395939418,-0.507366751049052,-0.583058856348924,-0.0976848985228053,-0.345441285937315,-0.548337109965927
05/18/2018,-0.554747188913271,-0.512876153757055,-0.592722518410649,-0.101406898964497,-0.273091493948529,-0.544212716066816
05/25/2018,-0.552156518800555,-0.51056900782798,-0.596537843461547,-0.104075185893522,-0.197532870402951,-0.540965951223649
06/01/2018,-0.54621138515546,-0.503103775024523,-0.595510984308149,-0.105880368842605,-0.122874350395591,-0.538602395141463
06/08/2018,-0.540310949558679,-0.493959737085979,-0.592370350373451,-0.107108622227705,-0.0535102699552816,-0.537093842092248
06/15/2018,-0.533670479353898,-0.483275299079715,-0.587879409025703,-0.107331260378199,0.00793826832597433,-0.536377082534656
06/22/2018,-0.52771529877107,-0.47440627720833,-0.584294375145433,-0.106843704001713,0.0599267345230906,-0.536353372449265
06/29/2018,-0.524517356360822,-0.469599630544705,-0.583298073823445,-0.106324513822478,0.101052318811663,-0.536897509276935
07/06/2018,-0.525875870592692,-0.472350702167273,-0.587192161788161,-0.106749530326152,0.132755171806862,-0.537869395149165
07/13/2018,-0.532546483433923,-0.482754585929436,-0.596387904364986,-0.108816124823717,0.15639569106801,-0.539104723805044
07/20/2018,-0.542548453944881,-0.499049069629591,-0.60961940497003,-0.112154535202769,0.174242712358493,-0.540451437935053
07/27/2018,-0.554499427946042,-0.518251312675137,-0.62610759923003,-0.115852215167183,0.188431934392691,-0.541766053726113
08/03/2018,-0.565942229253491,-0.536444173458716,-0.643606535435709,-0.119298926948145,0.201629536789751,-0.542918024383096
08/10/2018,-0.57614336347597,-0.551822274695602,-0.660379346452679,-0.122390139301254,0.215517098963175,-0.543796161574347
